id,tipo,titulo,detalle,lugar,cupos,fecha,redes,objetivo
C001,convocatoria,Taller de Robótica para niñas y niños de 8 a 12 años,Cuatro sesiones para construir y programar su primer robot con piezas reutilizables. No se necesita experiencia previa ni computadora en casa.,Sede Villa El Salvador,24,2026-08-03T12:00,"instagram,facebook,linkedin",alcance
C002,tip_stem,Haz un volcán con vinagre y bicarbonato,Mezcla dos cucharadas de bicarbonato con vinagre y colorante. La reacción libera dióxido de carbono: la misma química que hace crecer los queques.,,0,2026-08-04T12:00,"instagram,tiktok",comunidad
C003,testimonio,"Valeria, 11 años",Antes pensaba que programar era muy difícil y solo para adultos. Ahora hice un juego y se lo enseñé a mi hermano menor.,,0,2026-08-05T10:00,"instagram,facebook",alcance
C004,evento,Feria Científica Escolar 2026,Veinte proyectos creados por participantes del Club se exhibirán al público. Habrá demostraciones de robótica y un taller abierto para familias.,Parque Zonal Huáscar,0,2026-08-06T15:00,"instagram,facebook,linkedin",alcance
C005,logro,Llegamos a 500 estudiantes en 2026,"Cerramos el primer semestre con 500 niñas y niños participando en nuestros programas, en cinco distritos de Lima Sur.",,0,2026-08-07T12:00,"instagram,facebook,linkedin",comunidad
C006,convocatoria,Programa de Voluntariado STEM,Buscamos estudiantes y profesionales que quieran acompañar a los grupos los sábados. Capacitación inicial incluida.,Modalidad mixta,15,2026-08-08T10:00,"instagram,facebook,linkedin",comunidad
C007,tip_stem,Circuito simple con una pila y un foquito,"Con una pila, dos cables y un foco LED se entiende qué es un circuito cerrado. Si el foco no prende, revisa la polaridad del LED.",,0,2026-08-09T10:00,"instagram,tiktok",alcance
C008,evento,Charla para familias: cómo acompañar la curiosidad,"Conversatorio gratuito sobre cómo responder a las preguntas de niñas y niños sin cortar su curiosidad, aunque no sepamos la respuesta.",Virtual por Zoom,0,2026-08-10T10:00,"instagram,facebook,linkedin",inscripciones
C009,testimonio,"Rosa, madre de familia",Mi hijo llegaba a casa contando lo que había aprendido. Eso no pasaba antes con ningún curso.,,0,2026-08-11T12:00,"instagram,facebook",alcance
C010,convocatoria,Club de Programación con Scratch,"Ocho semanas creando juegos y animaciones. Para participantes de 9 a 14 años, con equipos disponibles en la sede.",Sede Villa María del Triunfo,20,2026-08-12T10:00,"instagram,facebook,linkedin",alcance
C011,tip_stem,Mide la altura de tu casa con una sombra,"Con una regla, la sombra de un objeto conocido y una proporción se puede calcular la altura de cualquier cosa. Así midieron las pirámides.",,0,2026-08-13T15:00,"instagram,tiktok",inscripciones
C012,logro,Nuestras egresadas ingresaron a carreras STEM,Seis participantes del programa 2024 ingresaron este año a carreras de ingeniería y ciencias en universidades públicas.,,0,2026-08-14T10:00,"instagram,facebook,linkedin",comunidad
C013,evento,Jornada de puertas abiertas,"Ven a conocer los talleres, prueba las actividades y resuelve tus dudas con el equipo. Actividad libre para toda la familia.",Sede Villa El Salvador,0,2026-08-15T10:00,"instagram,facebook,linkedin",alcance
C014,tip_stem,¿Por qué flota un barco de metal?,"No depende del peso sino de cuánta agua desplaza. Prueba con papel aluminio: en bolita se hunde, en forma de barquito flota.",,0,2026-08-16T15:00,"instagram,tiktok",comunidad
